Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Abanda CDP,0.672,0.302,0,0,0.016
AL,Abbeville city,0.544,0.414,0.001,0.01,0.031
AL,Adamsville city,0.523,0.449,0.005,0.003,0.023
AL,Addison town,0.991,0.001,0,0.001,0.004
AL,Akron town,0.132,0.865,0,0,0.003
AL,Alabaster city,0.794,0.135,0.004,0.009,0.09
AL,Albertville city,0.759,0.019,0.008,0.005,0.279
AL,Alexander City city,0.622,0.32,0.002,0.009,0.048
AL,Alexandria CDP,0.874,0.102,0.003,0.005,0.009
AL,Aliceville city,0.226,0.749,0.001,0,0.012
AL,Allgood town,0.796,0.006,0.003,0.006,0.494
AL,Altoona town,0.958,0.017,0.002,0.002,0.011
AL,Andalusia city,0.705,0.259,0.004,0.01,0.019
AL,Anderson town,0.979,0,0.004,0,0.007
AL,Anniston city,0.447,0.515,0.003,0.008,0.027
AL,Arab city,0.966,0.001,0.006,0.007,0.017
AL,Ardmore town,0.943,0.019,0.008,0.009,0.013
AL,Argo town,0.941,0.036,0.004,0.003,0.005
AL,Ariton town,0.783,0.192,0,0.001,0.06
AL,Arley town,0.944,0,0.006,0.003,0.014
AL,Ashford town,0.79,0.195,0.002,0.002,0.008
AL,Ashland town,0.715,0.241,0.003,0.007,0.057
AL,Ashville city,0.758,0.203,0.002,0.003,0.038
AL,Athens city,0.73,0.175,0.006,0.009,0.088
AL,Atmore city,0.4,0.556,0.018,0.003,0.018
AL,Attalla city,0.815,0.127,0.004,0.005,0.047
AL,Auburn city,0.751,0.165,0.003,0.053,0.029
AL,Autaugaville town,0.313,0.668,0.002,0,0.008
AL,Avon town,0.947,0.018,0.018,0,0.013
AL,Axis CDP,0.668,0.269,0.032,0.001,0.009
AL,Babbie town,0.967,0,0,0.015,0.002
AL,Baileyton town,0.962,0.002,0.005,0,0.015
AL,Bakerhill town,0.616,0.355,0.007,0,0.011
AL,Ballplay CDP,0.975,0.001,0.007,0.003,0.01
AL,Banks town,0.693,0.246,0.022,0,0.011
AL,Bay Minette city,0.604,0.353,0.01,0.008,0.018
AL,Bayou La Batre city,0.603,0.123,0.004,0.228,0.028
AL,Bear Creek town,0.971,0.001,0.007,0.002,0.018
AL,Beatrice town,0.236,0.761,0.003,0,0
AL,Beaverton town,0.95,0.05,0,0,0.01
AL,Belgreen CDP,0.961,0,0,0,0.039
AL,Belk town,0.958,0.028,0,0.005,0.009
AL,Bellamy CDP,0.083,0.908,0,0.009,0.013
AL,Belle Fontaine CDP,0.923,0.016,0.005,0.023,0.036
AL,Benton town,0.816,0.184,0,0,0
AL,Berry town,0.908,0.074,0,0,0.008
AL,Bessemer city,0.243,0.712,0.003,0.002,0.041
AL,Billingsley town,0.861,0.111,0.021,0,0.007
AL,Birmingham city,0.223,0.734,0.002,0.01,0.036
AL,Black town,0.923,0.063,0,0,0
AL,Blountsville town,0.873,0.007,0.01,0.004,0.153
AL,Blue Ridge CDP,0.945,0.027,0.007,0.009,0.01
AL,Blue Springs town,0.927,0.063,0,0.01,0.031
AL,Boaz city,0.873,0.018,0.004,0.007,0.142
AL,Boligee town,0.088,0.902,0,0,0.003
AL,Bon Air town,0.802,0.069,0.026,0,0.026
AL,Boykin CDP,0.04,0.953,0,0,0.007
AL,Brantley town,0.561,0.388,0.006,0.005,0.02
AL,Brantleyville CDP,0.821,0.033,0.009,0.005,0.126
AL,Brent city,0.451,0.535,0.001,0,0.021
AL,Brewton city,0.541,0.426,0.007,0.004,0.022
AL,Bridgeport city,0.84,0.086,0.019,0.002,0.017
AL,Brighton city,0.065,0.81,0.01,0,0.138
AL,Brilliant town,0.983,0.002,0.001,0.001,0.016
AL,Bristow Cove CDP,0.911,0,0.015,0.001,0.066
AL,Brook Highland CDP,0.736,0.162,0.002,0.044,0.078
AL,Brookside town,0.795,0.185,0.003,0.001,0.007
AL,Brookwood town,0.922,0.053,0.007,0.001,0.02
AL,Broomtown CDP,0.984,0.016,0,0,0
AL,Brundidge city,0.341,0.629,0.005,0.006,0.03
AL,Bucks CDP,0.594,0.313,0.031,0,0.031
AL,Butler town,0.714,0.267,0.002,0.002,0.007
AL,Calera city,0.712,0.23,0.002,0.006,0.05
AL,Calvert CDP,0.531,0.354,0.069,0,0.022
AL,Camden city,0.42,0.574,0.001,0,0.007
AL,Camp Hill town,0.102,0.884,0.001,0.001,0.007
AL,Carbon Hill city,0.894,0.082,0.002,0.001,0.012
AL,Cardiff town,0.945,0.055,0,0,0
AL,Carlisle-Rockledge CDP,0.95,0.009,0.009,0.001,0.031
AL,Carlton CDP,0.662,0.338,0,0,0.031
AL,Carolina town,0.966,0.003,0.003,0,0
AL,Carrollton town,0.49,0.431,0.001,0,0.104
AL,Castleberry town,0.592,0.384,0.003,0,0.005
AL,Catherine CDP,0.727,0.273,0,0,0
AL,Cedar Bluff town,0.862,0.099,0.007,0.003,0.012
AL,Center Point city,0.326,0.629,0.002,0.004,0.048
AL,Centre city,0.87,0.099,0.004,0.003,0.012
AL,Centreville city,0.722,0.237,0.003,0.004,0.03
AL,Chatom town,0.682,0.311,0,0,0.006
AL,Chelsea city,0.895,0.057,0.003,0.02,0.032
AL,Cherokee town,0.776,0.183,0.005,0.003,0.017
AL,Chickasaw city,0.63,0.336,0.008,0.005,0.023
AL,Childersburg city,0.601,0.369,0.004,0.005,0.013
AL,Choccolocco CDP,0.875,0.072,0.003,0.007,0.043
AL,Chunchula CDP,0.457,0.519,0,0,0.005
AL,Citronelle city,0.707,0.202,0.049,0.005,0.026
AL,Clanton city,0.749,0.191,0.003,0.006,0.06
AL,Clay city,0.841,0.133,0.003,0.006,0.013
AL,Clayhatchee town,0.949,0.017,0.003,0.003,0.024
AL,Clayton town,0.358,0.638,0,0,0.006
AL,Cleveland town,0.892,0.003,0.002,0.003,0.184
AL,Clio city,0.32,0.365,0.004,0.005,0.36
AL,Coaling town,0.864,0.114,0.001,0.001,0.008
AL,Coats Bend CDP,0.844,0.126,0.005,0,0.009
AL,Coffee Springs town,0.961,0,0,0,0.026
AL,Coffeeville town,0.514,0.46,0,0,0.006
AL,Coker town,0.952,0.02,0.002,0.009,0.018
AL,Collinsville town,0.478,0.09,0.011,0.001,0.431
AL,Colony town,0.104,0.869,0,0.004,0.004
AL,Columbia town,0.77,0.211,0.004,0,0.004
AL,Columbiana city,0.713,0.251,0.003,0.002,0.03
AL,Concord CDP,0.985,0.005,0.002,0.002,0.005
AL,Coosada town,0.577,0.4,0.004,0.002,0.029
AL,Cordova city,0.834,0.145,0.008,0.001,0.007
AL,Cottonwood town,0.718,0.254,0.006,0,0.011
AL,County Line town,0.942,0.012,0.031,0.012,0.004
AL,Courtland town,0.576,0.384,0.013,0.003,0.003
AL,Cowarts town,0.808,0.146,0.007,0.001,0.017
AL,Creola city,0.847,0.098,0.018,0.001,0.031
AL,Crossville town,0.887,0.004,0.019,0.002,0.083
AL,Cuba town,0.853,0.13,0.006,0,0.003
AL,Cullman city,0.934,0.009,0.003,0.009,0.082
AL,Cullomburg CDP,0.421,0.573,0,0,0
AL,Cusseta town,0.959,0.024,0,0.016,0
AL,Dadeville city,0.502,0.475,0.003,0.006,0.009
AL,Daleville city,0.662,0.226,0.011,0.027,0.101
AL,Daphne city,0.841,0.118,0.004,0.015,0.029
AL,Dauphin Island town,0.973,0.004,0.01,0.002,0.007
AL,Daviston town,0.888,0.103,0,0.009,0.019
AL,Dayton town,0.327,0.654,0,0,0
AL,Deatsville town,0.776,0.194,0.001,0.003,0.016
AL,Decatur city,0.665,0.217,0.007,0.009,0.124
AL,Deer Park CDP,0.319,0.665,0,0,0.016
AL,Delta CDP,0.97,0,0.025,0,0.005
AL,Demopolis city,0.473,0.501,0.001,0.005,0.024
AL,Detroit town,0.831,0.139,0,0,0.004
AL,Dodge City town,0.96,0.007,0.008,0,0.025
AL,Dora city,0.856,0.122,0.003,0,0.007
AL,Dothan city,0.631,0.325,0.004,0.011,0.029
AL,Double Springs town,0.973,0.006,0.008,0.002,0.004
AL,Douglas town,0.933,0.008,0.004,0,0.039
AL,Dozier town,0.596,0.353,0.003,0.003,0
AL,Dunnavant CDP,0.967,0.004,0.007,0,0.023
AL,Dutton town,0.908,0.025,0,0,0.032
AL,East Brewton city,0.747,0.208,0.006,0,0.031
AL,East Point CDP,0.965,0,0,0.01,0.035
AL,Eclectic town,0.864,0.11,0.004,0,0.013
AL,Edgewater CDP,0.31,0.684,0.001,0,0.01
AL,Edwardsville town,0.98,0.005,0,0,0
AL,Egypt CDP,0.943,0.009,0.005,0.005,0.033
AL,Elba city,0.621,0.343,0.012,0.003,0.011
AL,Elberta town,0.929,0.014,0.003,0.008,0.053
AL,Eldridge town,0.977,0.008,0,0,0
AL,Elkmont town,0.859,0.127,0.012,0,0
AL,Elmore town,0.643,0.267,0.001,0.002,0.088
AL,Emelle town,0.057,0.943,0,0,0
AL,Emerald Mountain CDP,0.871,0.11,0.002,0.006,0.016
AL,Enterprise city,0.694,0.207,0.005,0.02,0.088
AL,Epes town,0.089,0.911,0,0,0
AL,Ethelsville town,0.741,0.259,0,0,0
AL,Eufaula city,0.51,0.446,0.005,0.006,0.043
AL,Eunola CDP,0.914,0.074,0,0.004,0.016
AL,Eutaw town,0.181,0.802,0.001,0.004,0.013
AL,Eva town,0.963,0,0.004,0.002,0.004
AL,Evergreen city,0.348,0.624,0.002,0.002,0.023
AL,Excel town,0.911,0.05,0.014,0,0.007
AL,Fairfield city,0.042,0.946,0,0,0.011
AL,Fairford CDP,0.613,0.177,0.199,0,0
AL,Fairhope city,0.911,0.062,0.002,0.007,0.028
AL,Fairview town,0.955,0.002,0,0.004,0.112
AL,Falkville town,0.921,0.034,0.011,0.001,0.022
AL,Faunsdale town,0.673,0.327,0,0,0
AL,Fayette city,0.734,0.243,0.003,0.003,0.014
AL,Fayetteville CDP,0.972,0.013,0.003,0,0.003
AL,Fitzpatrick CDP,0.783,0.217,0,0,0.024
AL,Five Points town,0.468,0.525,0,0,0
AL,Flomaton town,0.695,0.272,0.016,0.001,0.023
AL,Florala town,0.801,0.158,0.008,0.004,0.028
AL,Florence city,0.75,0.194,0.004,0.014,0.036
