Geographic Area,City,poverty_rate
AL,Abanda CDP,0.788
AL,Abbeville city,0.291
AL,Adamsville city,0.255
AL,Addison town,0.307
AL,Akron town,0.42
AL,Alabaster city,0.112
AL,Albertville city,0.267
AL,Alexander City city,0.304
AL,Alexandria CDP,0.097
AL,Aliceville city,0.413
AL,Allgood town,0.277
AL,Altoona town,0.275
AL,Andalusia city,0.245
AL,Anderson town,0.138
AL,Anniston city,0.317
AL,Arab city,0.167
AL,Ardmore town,0.191
AL,Argo town,0.086
AL,Ariton town,0.376
AL,Arley town,0.316
AL,Ashford town,0.188
AL,Ashland town,0.224
AL,Ashville city,0.283
AL,Athens city,0.13
AL,Atmore city,0.247
AL,Attalla city,0.203
AL,Auburn city,0.318
AL,Autaugaville town,0.241
AL,Avon town,0.222
AL,Axis CDP,0.068
AL,Babbie town,0.157
AL,Baileyton town,0.286
AL,Bakerhill town,0.191
AL,Ballplay CDP,0.071
AL,Banks town,0.382
AL,Bay Minette city,0.263
AL,Bayou La Batre city,0.301
AL,Bear Creek town,0.253
AL,Beatrice town,0.449
AL,Beaverton town,0.081
AL,Belgreen CDP,0.288
AL,Belk town,0.391
AL,Bellamy CDP,0.429
AL,Belle Fontaine CDP,0.367
AL,Benton town,0
AL,Berry town,0.309
AL,Bessemer city,0.329
AL,Billingsley town,0.205
AL,Birmingham city,0.309
AL,Black town,0.127
AL,Blountsville town,0.412
AL,Blue Ridge CDP,0.005
AL,Blue Springs town,0.04
AL,Boaz city,0.194
AL,Boligee town,0.603
AL,Bon Air town,0.476
AL,Bon Secour CDP,0.182
AL,Boykin CDP,0.537
AL,Brantley town,0.207
AL,Brantleyville CDP,0.192
AL,Brent city,0.173
AL,Brewton city,0.278
AL,Bridgeport city,0.347
AL,Brighton city,0.33
AL,Brilliant town,0.225
AL,Bristow Cove CDP,0.397
AL,Brook Highland CDP,0.115
AL,Brookside town,0.192
AL,Brookwood town,0.108
AL,Broomtown CDP,0.238
AL,Brundidge city,0.324
AL,Bucks CDP,0
AL,Butler town,0.253
AL,Calera city,0.058
AL,Calvert CDP,0.794
AL,Camden city,0.319
AL,Camp Hill town,0.366
AL,Carbon Hill city,0.322
AL,Cardiff town,0.3
AL,Carlisle-Rockledge CDP,0.172
AL,Carlton CDP,0.189
AL,Carolina town,0.074
AL,Carrollton town,0.291
AL,Castleberry town,0.396
AL,Catherine CDP,0
AL,Cedar Bluff town,0.258
AL,Center Point city,0.25
AL,Centre city,0.251
AL,Centreville city,0.224
AL,Chatom town,0.198
AL,Chelsea city,0.049
AL,Cherokee town,0.199
AL,Chickasaw city,0.336
AL,Childersburg city,0.386
AL,Choccolocco CDP,0.147
AL,Chunchula CDP,0
AL,Citronelle city,0.169
AL,Clanton city,0.169
AL,Clay city,0.066
AL,Clayhatchee town,0.164
AL,Clayton town,0.293
AL,Cleveland town,0.15
AL,Clio city,0.314
AL,Coaling town,0.195
AL,Coats Bend CDP,0.15
AL,Coffee Springs town,0.212
AL,Coffeeville town,0.413
AL,Coker town,0.1
AL,Collinsville town,0.321
AL,Colony town,0.248
AL,Columbia town,0.201
AL,Columbiana city,0.24
AL,Concord CDP,0.079
AL,Coosada town,0.235
AL,Cordova city,0.328
AL,Cottondale CDP,0.128
AL,Cottonwood town,0.298
AL,County Line town,0.107
AL,Courtland town,0.258
AL,Cowarts town,0.117
AL,Creola city,0.181
AL,Crossville town,0.381
AL,Cuba town,0.21
AL,Cullman city,0.219
AL,Cullomburg CDP,0.085
AL,Cusseta town,0.093
AL,Dadeville city,0.288
AL,Daleville city,0.245
AL,Daphne city,0.112
AL,Dauphin Island town,0.036
AL,Daviston town,0.129
AL,Dayton town,0.48
AL,Deatsville town,0.051
AL,Decatur city,0.212
AL,Deer Park CDP,0.281
AL,Delta CDP,0
AL,Demopolis city,0.31
AL,Detroit town,0.279
AL,Dodge City town,0.167
AL,Dora city,0.172
AL,Dothan city,0.191
AL,Double Springs town,0.275
AL,Douglas town,0.349
AL,Dozier town,0.303
AL,Dunnavant CDP,0.077
AL,Dutton town,0.242
AL,East Brewton city,0.306
AL,East Point CDP,0
AL,Eclectic town,0.134
AL,Edgewater CDP,0.265
AL,Edwardsville town,0.051
AL,Egypt CDP,0.045
AL,Elba city,0.311
AL,Elberta town,0.158
AL,Eldridge town,0.378
AL,Elkmont town,0.112
AL,Elmore town,0.3
AL,Emelle town,0
AL,Emerald Mountain CDP,0.082
AL,Enterprise city,0.163
AL,Epes town,0.248
AL,Ethelsville town,0.323
AL,Eufaula city,0.253
AL,Eunola CDP,0
AL,Eutaw town,0.327
AL,Eva town,0.111
AL,Evergreen city,0.526
AL,Excel town,0.186
AL,Fairfield city,0.234
AL,Fairford CDP,0
AL,Fairhope city,0.112
AL,Fairview town,0.24
AL,Falkville town,0.26
AL,Faunsdale town,0.302
AL,Fayette city,0.259
AL,Fayetteville CDP,0.153
AL,Fitzpatrick CDP,0.155
AL,Five Points town,0.204
AL,Flomaton town,0.302
AL,Florala town,0.301
AL,Florence city,0.246
AL,Foley city,0.189
AL,Forestdale CDP,0.17
AL,Forkland town,0.481
AL,Fort Deposit town,0.302
AL,Fort Payne city,0.19
AL,Fort Rucker CDP,0.08
AL,Franklin town,0.066
AL,Fredonia CDP,0.184
AL,Frisco City town,0.313
AL,Fruitdale CDP,0.33
AL,Fruithurst town,0.135
AL,Fulton town,0.199
AL,Fultondale city,0.14
AL,Fyffe town,0.128
AL,Gadsden city,0.294
AL,Gainesville town,0.409
AL,Gallant CDP,0.039
AL,Gantt town,0.083
AL,Garden City town,0.193
AL,Gardendale city,0.078
AL,Gaylesville town,0.193
AL,Geiger town,0.195
AL,Geneva city,0.303
AL,Georgiana town,0.355
AL,Geraldine town,0.138
AL,Gilbertown town,0.215
AL,Glen Allen town,0.214
AL,Glencoe city,0.111
AL,Glenwood town,0.136
AL,Goldville town,0.093
AL,Good Hope town,0.152
AL,Goodwater town,0.322
AL,Gordo town,0.263
AL,Gordon town,0.269
AL,Gordonville town,0.392
AL,Goshen town,0.319
AL,Graham CDP,0.045
AL,Grand Bay CDP,0.064
AL,Grant town,0.072
AL,Grayson Valley CDP,0.089
AL,Graysville city,0.174
AL,Greensboro city,0.393
AL,Greenville city,0.258
AL,Grimes town,0.191
AL,Grove Hill town,0.261
AL,Guin city,0.375
AL,Gulfcrest CDP,0
AL,Gulf Shores city,0.166
AL,Guntersville city,0.162
AL,Gurley town,0.308
AL,Gu-Win town,0.12
AL,Hackleburg town,0.257
AL,Hackneyville CDP,0.178
AL,Haleburg town,0.083
AL,Haleyville city,0.268
AL,Hamilton city,0.185
AL,Hammondville town,0.08
AL,Hanceville city,0.258
AL,Harpersville town,0.188
AL,Hartford city,0.367
AL,Hartselle city,0.069
AL,Harvest CDP,0.055
AL,Hatton CDP,0
AL,Hayden town,0.079
AL,Hayneville town,0.444
AL,Hazel Green CDP,0.149
AL,Headland city,0.131
AL,Heath town,0.325
AL,Heflin city,0.226
AL,Helena city,0.021
AL,Henagar city,0.194
AL,Highland Lake town,0.092
AL,Highland Lakes CDP,0.02
AL,Hillsboro town,0.176
AL,Hissop CDP,0.232
AL,Hobson CDP,0
AL,Hobson City town,0.413
AL,Hodges town,0.269
AL,Hokes Bluff city,0.137
AL,Hollins CDP,0.244
AL,Hollis Crossroads CDP,0.29
AL,Holly Pond town,0.19
AL,Hollywood town,0.203
AL,Holt CDP,0.464
